actor_img,actorname,per_traits
"https://m.media-amazon.com/images/M/MV5BMjAwMjk3NDUzN15BMl5BanBnXkFtZTcwNjI4MTY0NA@@._V1_UX140_CR0,0,140,209_AL_.jpg",Aamir Khan,Aamir is no doubt one of the most dedicated actors in this world. With his recent success in India and China markets combined he has got the title of World's Biggest Superstar. He went through rapid transformations in his body structure for his films to bring out the reality factor in his ...
"https://m.media-amazon.com/images/M/MV5BODI4NDY1NzkyM15BMl5BanBnXkFtZTgwNzM3MDM0OTE@._V1_UY209_CR13,0,140,209_AL_.jpg",Akshay Kumar,"Akshay Kumar, born September 9, 1967, is an actor. He studied martial arts in Hong Kong. It was a student that suggested that he try modeling. Because of his success as model, he was offered films. Along with his good looks and excellent martial art skills, he was always the first choice to do ..."
"https://m.media-amazon.com/images/M/MV5BMTY0MDY2MDMwOV5BMl5BanBnXkFtZTgwNDE4MDM0OTE@._V1_UY209_CR6,0,140,209_AL_.jpg",Ajay Devgn,"Ajay Devgn is an Indian film actor, director, and producer. He made his film debut with Phool Aur Kaante in 1991 and received a Filmfare Award for Best Male Debut for his performance in the film. He then starred in films such as"
"https://m.media-amazon.com/images/M/MV5BOWUzNjU3YTUtOGIyMi00MDk3LTk1NDMtMzY4MDZlNDFhNTFhXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR73,0,140,209_AL_.jpg",Amjad Khan,"Amjad Khan was born on November 12, 1940 in Hyderabad, Hyderabad State, British India. He was an actor and director, known for"
"https://m.media-amazon.com/images/M/MV5BNTk1OTUxMzIzMV5BMl5BanBnXkFtZTcwMzMxMjI0Nw@@._V1_UY209_CR6,0,140,209_AL_.jpg",Amitabh Bachchan,Son of well known poet
"https://m.media-amazon.com/images/M/MV5BNzZhNDQ1YzItNTVlOC00MmVmLTkzMjEtMDFmN2Q0MDU2YmQ3XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR21,0,140,209_AL_.jpg",Amol Palekar,"Amol Palekar was born on November 24, 1944 in Bombay, Bombay Presidency, British India. He is an actor and director, known for"
"https://m.media-amazon.com/images/M/MV5BMTU2NzkzODA3OV5BMl5BanBnXkFtZTcwMzk2MDMyOA@@._V1_UX140_CR0,0,140,209_AL_.jpg",Abhay Deol,"Abhay Deol (born in 1976, India) is an Indian film actor. He is the nephew of famous veteran actor"
"https://m.media-amazon.com/images/M/MV5BMjAxNDQyNDkxM15BMl5BanBnXkFtZTcwNTQyNTA0MQ@@._V1_UY209_CR87,0,140,209_AL_.jpg",Akshaye Khanna,"Akshaye Khanna was born in Mumbai in 1975. He is the middle son of Bollywood actor and politician Vinod Khanna, and the younger brother of actor Rahul Khanna."
"https://m.media-amazon.com/images/M/MV5BNmMwOGYwMjUtN2M5My00ODIxLWI3ZjctODM2MGI4OGQzOWM0XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR6,0,140,209_AL_.jpg",Arshad Warsi,"Arshad Warsi was born in Mumbai, India, and did his schooling at a boarding school, Barnes School, Deolali in Nashik district, Maharashtra. He was orphaned at the age of 14 and struggled for a living in Mumbai during his early days."
"https://m.media-amazon.com/images/M/MV5BZTkxYmU1NmUtNGE4Ni00OWNmLWE5YzktNTJiZTlmMTIyMTM5XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR1,0,140,209_AL_.jpg",Anushka Shetty,Anushka Shetty is an Indian Film Actress. She was also a Yoga Instructor and has trained under yoga guru Bharat Thakur.
